Row No.,Passenger Class,Name,Sex,Age,No of Sibilings or Spouses on Board,No of Partners or Childern on Board,Ticket Number,Passenger Fare,Cabin,Port of Embarkation,Life Boat,Survived
248,First,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Female,54,1,0,PC 17603,59.4,?,Cherbourg,6,Yes
249,First,"Rowe, Mr. Alfred G",Male,33,0,0,113790,26.55,?,Southampton,?,No
250,First,"Ryerson, Master. John Borie",Male,13,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,Yes
251,First,"Ryerson, Miss. Emily Borie",Female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,Yes
252,First,"Ryerson, Miss. Susan Parker ""Suzette""",Female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,Yes
253,First,"Ryerson, Mr. Arthur Larned",Male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,?,No
254,First,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",Female,48,1,3,PC 17608,262.375,B57 B59 B63 B66,Cherbourg,4,Yes
255,First,"Saalfeld, Mr. Adolphe",Male,?,0,0,19988,30.5,C106,Southampton,3,Yes
256,First,"Sagesser, Mlle. Emma",Female,24,0,0,PC 17477,69.3,B35,Cherbourg,9,Yes
257,First,"Salomon, Mr. Abraham L",Male,?,0,0,111163,26,?,Southampton,1,Yes
258,First,"Schabert, Mrs. Paul (Emma Mock)",Female,35,1,0,13236,57.75,C28,Cherbourg,11,Yes
259,First,"Serepeca, Miss. Augusta",Female,30,0,0,113798,31,?,Cherbourg,4,Yes
260,First,"Seward, Mr. Frederic Kimber",Male,34,0,0,113794,26.55,?,Southampton,7,Yes
261,First,"Shutes, Miss. Elizabeth W",Female,40,0,0,PC 17582,153.4625,C125,Southampton,3,Yes
262,First,"Silverthorne, Mr. Spencer Victor",Male,35,0,0,PC 17475,26.2875,E24,Southampton,5,Yes
263,First,"Silvey, Mr. William Baird",Male,50,1,0,13507,55.9,E44,Southampton,?,No
264,First,"Silvey, Mrs. William Baird (Alice Munger)",Female,39,1,0,13507,55.9,E44,Southampton,11,Yes
265,First,"Simonius-Blumer, Col. Oberst Alfons",Male,56,0,0,13213,35.5,A26,Cherbourg,3,Yes
266,First,"Sloper, Mr. William Thompson",Male,28,0,0,113788,35.5,A6,Southampton,7,Yes
267,First,"Smart, Mr. John Montgomery",Male,56,0,0,113792,26.55,?,Southampton,?,No
268,First,"Smith, Mr. James Clinch",Male,56,0,0,17764,30.6958,A7,Cherbourg,?,No
269,First,"Smith, Mr. Lucien Philip",Male,24,1,0,13695,60,C31,Southampton,?,No
270,First,"Smith, Mr. Richard William",Male,?,0,0,113056,26,A19,Southampton,?,No
271,First,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",Female,18,1,0,13695,60,C31,Southampton,6,Yes
272,First,"Snyder, Mr. John Pillsbury",Male,24,1,0,21228,82.2667,B45,Southampton,7,Yes
273,First,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",Female,23,1,0,21228,82.2667,B45,Southampton,7,Yes
274,First,"Spedden, Master. Robert Douglas",Male,6,0,2,16966,134.5,E34,Cherbourg,3,Yes
275,First,"Spedden, Mr. Frederic Oakley",Male,45,1,1,16966,134.5,E34,Cherbourg,3,Yes
276,First,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Female,40,1,1,16966,134.5,E34,Cherbourg,3,Yes
277,First,"Spencer, Mr. William Augustus",Male,57,1,0,PC 17569,146.5208,B78,Cherbourg,?,No
278,First,"Spencer, Mrs. William Augustus (Marie Eugenie)",Female,?,1,0,PC 17569,146.5208,B78,Cherbourg,6,Yes
279,First,"Stahelin-Maeglin, Dr. Max",Male,32,0,0,13214,30.5,B50,Cherbourg,3,Yes
280,First,"Stead, Mr. William Thomas",Male,62,0,0,113514,26.55,C87,Southampton,?,No
281,First,"Stengel, Mr. Charles Emil Henry",Male,54,1,0,11778,55.4417,C116,Cherbourg,1,Yes
282,First,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",Female,43,1,0,11778,55.4417,C116,Cherbourg,5,Yes
283,First,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Female,52,1,0,36947,78.2667,D20,Cherbourg,4,Yes
284,First,"Stewart, Mr. Albert A",Male,?,0,0,PC 17605,27.7208,?,Cherbourg,?,No
285,First,"Stone, Mrs. George Nelson (Martha Evelyn)",Female,62,0,0,113572,80,B28,?,6,Yes
286,First,"Straus, Mr. Isidor",Male,67,1,0,PC 17483,221.7792,C55 C57,Southampton,?,No
287,First,"Straus, Mrs. Isidor (Rosalie Ida Blun)",Female,63,1,0,PC 17483,221.7792,C55 C57,Southampton,?,No
288,First,"Sutton, Mr. Frederick",Male,61,0,0,36963,32.3208,D50,Southampton,?,No
289,First,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Female,48,0,0,17466,25.9292,D17,Southampton,8,Yes
290,First,"Taussig, Miss. Ruth",Female,18,0,2,110413,79.65,E68,Southampton,8,Yes
291,First,"Taussig, Mr. Emil",Male,52,1,1,110413,79.65,E67,Southampton,?,No
292,First,"Taussig, Mrs. Emil (Tillie Mandelbaum)",Female,39,1,1,110413,79.65,E67,Southampton,8,Yes
293,First,"Taylor, Mr. Elmer Zebley",Male,48,1,0,19996,52,C126,Southampton,5 7,Yes
294,First,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Female,?,1,0,19996,52,C126,Southampton,5 7,Yes
295,First,"Thayer, Mr. John Borland",Male,49,1,1,17421,110.8833,C68,Cherbourg,?,No
296,First,"Thayer, Mr. John Borland Jr",Male,17,0,2,17421,110.8833,C70,Cherbourg,B,Yes
297,First,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Female,39,1,1,17421,110.8833,C68,Cherbourg,4,Yes
298,First,"Thorne, Mrs. Gertrude Maybelle",Female,?,0,0,PC 17585,79.2,?,Cherbourg,D,Yes
299,First,"Tucker, Mr. Gilbert Milligan Jr",Male,31,0,0,2543,28.5375,C53,Cherbourg,7,Yes
300,First,"Uruchurtu, Don. Manuel E",Male,40,0,0,PC 17601,27.7208,?,Cherbourg,?,No
301,First,"Van der hoef, Mr. Wyckoff",Male,61,0,0,111240,33.5,B19,Southampton,?,No
302,First,"Walker, Mr. William Anderson",Male,47,0,0,36967,34.0208,D46,Southampton,?,No
303,First,"Ward, Miss. Anna",Female,35,0,0,PC 17755,512.3292,?,Cherbourg,3,Yes
304,First,"Warren, Mr. Frank Manley",Male,64,1,0,110813,75.25,D37,Cherbourg,?,No
305,First,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Female,60,1,0,110813,75.25,D37,Cherbourg,5,Yes
306,First,"Weir, Col. John",Male,60,0,0,113800,26.55,?,Southampton,?,No
307,First,"White, Mr. Percival Wayland",Male,54,0,1,35281,77.2875,D26,Southampton,?,No
308,First,"White, Mr. Richard Frasar",Male,21,0,1,35281,77.2875,D26,Southampton,?,No
309,First,"White, Mrs. John Stuart (Ella Holmes)",Female,55,0,0,PC 17760,135.6333,C32,Cherbourg,8,Yes
310,First,"Wick, Miss. Mary Natalie",Female,31,0,2,36928,164.8667,C7,Southampton,8,Yes
311,First,"Wick, Mr. George Dennick",Male,57,1,1,36928,164.8667,?,Southampton,?,No
312,First,"Wick, Mrs. George Dennick (Mary Hitchcock)",Female,45,1,1,36928,164.8667,?,Southampton,8,Yes
313,First,"Widener, Mr. George Dunton",Male,50,1,1,113503,211.5,C80,Cherbourg,?,No
314,First,"Widener, Mr. Harry Elkins",Male,27,0,2,113503,211.5,C82,Cherbourg,?,No
315,First,"Widener, Mrs. George Dunton (Eleanor Elkins)",Female,50,1,1,113503,211.5,C80,Cherbourg,4,Yes
316,First,"Willard, Miss. Constance",Female,21,0,0,113795,26.55,?,Southampton,8 10,Yes
317,First,"Williams, Mr. Charles Duane",Male,51,0,1,PC 17597,61.3792,?,Cherbourg,?,No
318,First,"Williams, Mr. Richard Norris II",Male,21,0,1,PC 17597,61.3792,?,Cherbourg,A,Yes
319,First,"Williams-Lambert, Mr. Fletcher Fellows",Male,?,0,0,113510,35,C128,Southampton,?,No
320,First,"Wilson, Miss. Helen Alice",Female,31,0,0,16966,134.5,E39 E41,Cherbourg,3,Yes
321,First,"Woolner, Mr. Hugh",Male,?,0,0,19947,35.5,C52,Southampton,D,Yes
322,First,"Wright, Mr. George",Male,62,0,0,113807,26.55,?,Southampton,?,No
323,First,"Young, Miss. Marie Grice",Female,36,0,0,PC 17760,135.6333,C32,Cherbourg,8,Yes
324,Second,"Abelson, Mr. Samuel",Male,30,1,0,P/PP 3381,24,?,Cherbourg,?,No
325,Second,"Abelson, Mrs. Samuel (Hannah Wizosky)",Female,28,1,0,P/PP 3381,24,?,Cherbourg,10,Yes
326,Second,"Aldworth, Mr. Charles Augustus",Male,30,0,0,248744,13,?,Southampton,?,No
327,Second,"Andrew, Mr. Edgardo Samuel",Male,18,0,0,231945,11.5,?,Southampton,?,No
328,Second,"Andrew, Mr. Frank Thomas",Male,25,0,0,C.A. 34050,10.5,?,Southampton,?,No
329,Second,"Angle, Mr. William A",Male,34,1,0,226875,26,?,Southampton,?,No
330,Second,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Female,36,1,0,226875,26,?,Southampton,11,Yes
331,Second,"Ashby, Mr. John",Male,57,0,0,244346,13,?,Southampton,?,No
332,Second,"Bailey, Mr. Percy Andrew",Male,18,0,0,29108,11.5,?,Southampton,?,No
333,Second,"Baimbrigge, Mr. Charles Robert",Male,23,0,0,C.A. 31030,10.5,?,Southampton,?,No
334,Second,"Ball, Mrs. (Ada E Hall)",Female,36,0,0,28551,13,D,Southampton,10,Yes
335,Second,"Banfield, Mr. Frederick James",Male,28,0,0,C.A./SOTON 34068,10.5,?,Southampton,?,No
336,Second,"Bateman, Rev. Robert James",Male,51,0,0,S.O.P. 1166,12.525,?,Southampton,?,No
337,Second,"Beane, Mr. Edward",Male,32,1,0,2908,26,?,Southampton,13,Yes
338,Second,"Beane, Mrs. Edward (Ethel Clarke)",Female,19,1,0,2908,26,?,Southampton,13,Yes
339,Second,"Beauchamp, Mr. Henry James",Male,28,0,0,244358,26,?,Southampton,?,No
340,Second,"Becker, Master. Richard F",Male,1,2,1,230136,39,F4,Southampton,11,Yes
341,Second,"Becker, Miss. Marion Louise",Female,4,2,1,230136,39,F4,Southampton,11,Yes
342,Second,"Becker, Miss. Ruth Elizabeth",Female,12,2,1,230136,39,F4,Southampton,13,Yes
343,Second,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",Female,36,0,3,230136,39,F4,Southampton,11,Yes
344,Second,"Beesley, Mr. Lawrence",Male,34,0,0,248698,13,D56,Southampton,13,Yes
345,Second,"Bentham, Miss. Lilian W",Female,19,0,0,28404,13,?,Southampton,12,Yes
346,Second,"Berriman, Mr. William John",Male,23,0,0,28425,13,?,Southampton,?,No
347,Second,"Botsford, Mr. William Hull",Male,26,0,0,237670,13,?,Southampton,?,No
348,Second,"Bowenur, Mr. Solomon",Male,42,0,0,211535,13,?,Southampton,?,No
349,Second,"Bracken, Mr. James H",Male,27,0,0,220367,13,?,Southampton,?,No
350,Second,"Brown, Miss. Amelia ""Mildred""",Female,24,0,0,248733,13,F33,Southampton,11,Yes
351,Second,"Brown, Miss. Edith Eileen",Female,15,0,2,29750,39,?,Southampton,14,Yes
352,Second,"Brown, Mr. Thomas William Solomon",Male,60,1,1,29750,39,?,Southampton,?,No
353,Second,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Female,40,1,1,29750,39,?,Southampton,14,Yes
354,Second,"Bryhl, Miss. Dagmar Jenny Ingeborg",Female,20,1,0,236853,26,?,Southampton,12,Yes
355,Second,"Bryhl, Mr. Kurt Arnold Gottfrid",Male,25,1,0,236853,26,?,Southampton,?,No
356,Second,"Buss, Miss. Kate",Female,36,0,0,27849,13,?,Southampton,9,Yes
357,Second,"Butler, Mr. Reginald Fenton",Male,25,0,0,234686,13,?,Southampton,?,No
358,Second,"Byles, Rev. Thomas Roussel Davids",Male,42,0,0,244310,13,?,Southampton,?,No
359,Second,"Bystrom, Mrs. (Karolina)",Female,42,0,0,236852,13,?,Southampton,?,Yes
360,Second,"Caldwell, Master. Alden Gates",Male,0.8333,0,2,248738,29,?,Southampton,13,Yes
361,Second,"Caldwell, Mr. Albert Francis",Male,26,1,1,248738,29,?,Southampton,13,Yes
362,Second,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",Female,22,1,1,248738,29,?,Southampton,13,Yes
363,Second,"Cameron, Miss. Clear Annie",Female,35,0,0,F.C.C. 13528,21,?,Southampton,14,Yes
364,Second,"Campbell, Mr. William",Male,?,0,0,239853,0,?,Southampton,?,No
365,Second,"Carbines, Mr. William",Male,19,0,0,28424,13,?,Southampton,?,No
366,Second,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",Female,44,1,0,244252,26,?,Southampton,?,No
367,Second,"Carter, Rev. Ernest Courtenay",Male,54,1,0,244252,26,?,Southampton,?,No
368,Second,"Chapman, Mr. Charles Henry",Male,52,0,0,248731,13.5,?,Southampton,?,No
369,Second,"Chapman, Mr. John Henry",Male,37,1,0,SC/AH 29037,26,?,Southampton,?,No
370,Second,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",Female,29,1,0,SC/AH 29037,26,?,Southampton,?,No
371,Second,"Christy, Miss. Julie Rachel",Female,25,1,1,237789,30,?,Southampton,12,Yes
372,Second,"Christy, Mrs. (Alice Frances)",Female,45,0,2,237789,30,?,Southampton,12,Yes
373,Second,"Clarke, Mr. Charles Valentine",Male,29,1,0,2003,26,?,Southampton,?,No
374,Second,"Clarke, Mrs. Charles V (Ada Maria Winfield)",Female,28,1,0,2003,26,?,Southampton,14,Yes
375,Second,"Coleridge, Mr. Reginald Charles",Male,29,0,0,W./C. 14263,10.5,?,Southampton,?,No
376,Second,"Collander, Mr. Erik Gustaf",Male,28,0,0,248740,13,?,Southampton,?,No
377,Second,"Collett, Mr. Sidney C Stuart",Male,24,0,0,28034,10.5,?,Southampton,9,Yes
378,Second,"Collyer, Miss. Marjorie ""Lottie""",Female,8,0,2,C.A. 31921,26.25,?,Southampton,14,Yes
379,Second,"Collyer, Mr. Harvey",Male,31,1,1,C.A. 31921,26.25,?,Southampton,?,No
380,Second,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",Female,31,1,1,C.A. 31921,26.25,?,Southampton,14,Yes
381,Second,"Cook, Mrs. (Selena Rogers)",Female,22,0,0,W./C. 14266,10.5,F33,Southampton,14,Yes
382,Second,"Corbett, Mrs. Walter H (Irene Colvin)",Female,30,0,0,237249,13,?,Southampton,?,No
383,Second,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",Female,?,0,0,F.C.C. 13534,21,?,Southampton,?,No
384,Second,"Cotterill, Mr. Henry ""Harry""",Male,21,0,0,29107,11.5,?,Southampton,?,No
385,Second,"Cunningham, Mr. Alfred Fleming",Male,?,0,0,239853,0,?,Southampton,?,No
386,Second,"Davies, Master. John Morgan Jr",Male,8,1,1,C.A. 33112,36.75,?,Southampton,14,Yes
387,Second,"Davies, Mr. Charles Henry",Male,18,0,0,S.O.C. 14879,73.5,?,Southampton,?,No
388,Second,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)",Female,48,0,2,C.A. 33112,36.75,?,Southampton,14,Yes
389,Second,"Davis, Miss. Mary",Female,28,0,0,237668,13,?,Southampton,13,Yes
390,Second,"de Brito, Mr. Jose Joaquim",Male,32,0,0,244360,13,?,Southampton,?,No
391,Second,"Deacon, Mr. Percy William",Male,17,0,0,S.O.C. 14879,73.5,?,Southampton,?,No
392,Second,"del Carlo, Mr. Sebastiano",Male,29,1,0,SC/PARIS 2167,27.7208,?,Cherbourg,?,No
393,Second,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",Female,24,1,0,SC/PARIS 2167,27.7208,?,Cherbourg,12,Yes
394,Second,"Denbury, Mr. Herbert",Male,25,0,0,C.A. 31029,31.5,?,Southampton,?,No
395,Second,"Dibden, Mr. William",Male,18,0,0,S.O.C. 14879,73.5,?,Southampton,?,No
396,Second,"Doling, Miss. Elsie",Female,18,0,1,231919,23,?,Southampton,?,Yes
397,Second,"Doling, Mrs. John T (Ada Julia Bone)",Female,34,0,1,231919,23,?,Southampton,?,Yes
398,Second,"Downton, Mr. William James",Male,54,0,0,28403,26,?,Southampton,?,No
399,Second,"Drew, Master. Marshall Brines",Male,8,0,2,28220,32.5,?,Southampton,10,Yes
400,Second,"Drew, Mr. James Vivian",Male,42,1,1,28220,32.5,?,Southampton,?,No
401,Second,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",Female,34,1,1,28220,32.5,?,Southampton,10,Yes
402,Second,"Duran y More, Miss. Asuncion",Female,27,1,0,SC/PARIS 2149,13.8583,?,Cherbourg,12,Yes
403,Second,"Duran y More, Miss. Florentina",Female,30,1,0,SC/PARIS 2148,13.8583,?,Cherbourg,12,Yes
404,Second,"Eitemiller, Mr. George Floyd",Male,23,0,0,29751,13,?,Southampton,?,No
405,Second,"Enander, Mr. Ingvar",Male,21,0,0,236854,13,?,Southampton,?,No
406,Second,"Fahlstrom, Mr. Arne Jonas",Male,18,0,0,236171,13,?,Southampton,?,No
407,Second,"Faunthorpe, Mr. Harry",Male,40,1,0,2926,26,?,Southampton,?,No
408,Second,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Female,29,1,0,2926,26,?,Southampton,16,Yes
409,Second,"Fillbrook, Mr. Joseph Charles",Male,18,0,0,C.A. 15185,10.5,?,Southampton,?,No
410,Second,"Fox, Mr. Stanley Hubert",Male,36,0,0,229236,13,?,Southampton,?,No
411,Second,"Frost, Mr. Anthony Wood ""Archie""",Male,?,0,0,239854,0,?,Southampton,?,No
412,Second,"Funk, Miss. Annie Clemmer",Female,38,0,0,237671,13,?,Southampton,?,No
413,Second,"Fynney, Mr. Joseph J",Male,35,0,0,239865,26,?,Southampton,?,No
414,Second,"Gale, Mr. Harry",Male,38,1,0,28664,21,?,Southampton,?,No
415,Second,"Gale, Mr. Shadrach",Male,34,1,0,28664,21,?,Southampton,?,No
416,Second,"Garside, Miss. Ethel",Female,34,0,0,243880,13,?,Southampton,12,Yes
417,Second,"Gaskell, Mr. Alfred",Male,16,0,0,239865,26,?,Southampton,?,No
418,Second,"Gavey, Mr. Lawrence",Male,26,0,0,31028,10.5,?,Southampton,?,No
419,Second,"Gilbert, Mr. William",Male,47,0,0,C.A. 30769,10.5,?,Southampton,?,No
420,Second,"Giles, Mr. Edgar",Male,21,1,0,28133,11.5,?,Southampton,?,No
421,Second,"Giles, Mr. Frederick Edward",Male,21,1,0,28134,11.5,?,Southampton,?,No
422,Second,"Giles, Mr. Ralph",Male,24,0,0,248726,13.5,?,Southampton,?,No
423,Second,"Gill, Mr. John William",Male,24,0,0,233866,13,?,Southampton,?,No
424,Second,"Gillespie, Mr. William Henry",Male,34,0,0,12233,13,?,Southampton,?,No
425,Second,"Givard, Mr. Hans Kristensen",Male,30,0,0,250646,13,?,Southampton,?,No
426,Second,"Greenberg, Mr. Samuel",Male,52,0,0,250647,13,?,Southampton,?,No
427,Second,"Hale, Mr. Reginald",Male,30,0,0,250653,13,?,Southampton,?,No
428,Second,"Hamalainen, Master. Viljo",Male,0.6667,1,1,250649,14.5,?,Southampton,4,Yes
429,Second,"Hamalainen, Mrs. William (Anna)",Female,24,0,2,250649,14.5,?,Southampton,4,Yes
430,Second,"Harbeck, Mr. William H",Male,44,0,0,248746,13,?,Southampton,?,No
431,Second,"Harper, Miss. Annie Jessie ""Nina""",Female,6,0,1,248727,33,?,Southampton,11,Yes
432,Second,"Harper, Rev. John",Male,28,0,1,248727,33,?,Southampton,?,No
433,Second,"Harris, Mr. George",Male,62,0,0,S.W./PP 752,10.5,?,Southampton,15,Yes
434,Second,"Harris, Mr. Walter",Male,30,0,0,W/C 14208,10.5,?,Southampton,?,No
435,Second,"Hart, Miss. Eva Miriam",Female,7,0,2,F.C.C. 13529,26.25,?,Southampton,14,Yes
436,Second,"Hart, Mr. Benjamin",Male,43,1,1,F.C.C. 13529,26.25,?,Southampton,?,No
437,Second,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",Female,45,1,1,F.C.C. 13529,26.25,?,Southampton,14,Yes
438,Second,"Herman, Miss. Alice",Female,24,1,2,220845,65,?,Southampton,9,Yes
439,Second,"Herman, Miss. Kate",Female,24,1,2,220845,65,?,Southampton,9,Yes
440,Second,"Herman, Mr. Samuel",Male,49,1,2,220845,65,?,Southampton,?,No
441,Second,"Herman, Mrs. Samuel (Jane Laver)",Female,48,1,2,220845,65,?,Southampton,9,Yes
442,Second,"Hewlett, Mrs. (Mary D Kingcome)",Female,55,0,0,248706,16,?,Southampton,13,Yes
443,Second,"Hickman, Mr. Leonard Mark",Male,24,2,0,S.O.C. 14879,73.5,?,Southampton,?,No
444,Second,"Hickman, Mr. Lewis",Male,32,2,0,S.O.C. 14879,73.5,?,Southampton,?,No
445,Second,"Hickman, Mr. Stanley George",Male,21,2,0,S.O.C. 14879,73.5,?,Southampton,?,No
446,Second,"Hiltunen, Miss. Marta",Female,18,1,1,250650,13,?,Southampton,?,No
447,Second,"Hocking, Miss. Ellen ""Nellie""",Female,20,2,1,29105,23,?,Southampton,4,Yes
448,Second,"Hocking, Mr. Richard George",Male,23,2,1,29104,11.5,?,Southampton,?,No
449,Second,"Hocking, Mr. Samuel James Metcalfe",Male,36,0,0,242963,13,?,Southampton,?,No
450,Second,"Hocking, Mrs. Elizabeth (Eliza Needs)",Female,54,1,3,29105,23,?,Southampton,4,Yes
451,Second,"Hodges, Mr. Henry Price",Male,50,0,0,250643,13,?,Southampton,?,No
452,Second,"Hold, Mr. Stephen",Male,44,1,0,26707,26,?,Southampton,?,No
453,Second,"Hold, Mrs. Stephen (Annie Margaret Hill)",Female,29,1,0,26707,26,?,Southampton,10,Yes
454,Second,"Hood, Mr. Ambrose Jr",Male,21,0,0,S.O.C. 14879,73.5,?,Southampton,?,No
455,Second,"Hosono, Mr. Masabumi",Male,42,0,0,237798,13,?,Southampton,10,Yes
456,Second,"Howard, Mr. Benjamin",Male,63,1,0,24065,26,?,Southampton,?,No
457,Second,"Howard, Mrs. Benjamin (Ellen Truelove Arman)",Female,60,1,0,24065,26,?,Southampton,?,No
458,Second,"Hunt, Mr. George Henry",Male,33,0,0,SCO/W 1585,12.275,?,Southampton,?,No
459,Second,"Ilett, Miss. Bertha",Female,17,0,0,SO/C 14885,10.5,?,Southampton,?,Yes
460,Second,"Jacobsohn, Mr. Sidney Samuel",Male,42,1,0,243847,27,?,Southampton,?,No
461,Second,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",Female,24,2,1,243847,27,?,Southampton,12,Yes
462,Second,"Jarvis, Mr. John Denzil",Male,47,0,0,237565,15,?,Southampton,?,No
463,Second,"Jefferys, Mr. Clifford Thomas",Male,24,2,0,C.A. 31029,31.5,?,Southampton,?,No
464,Second,"Jefferys, Mr. Ernest Wilfred",Male,22,2,0,C.A. 31029,31.5,?,Southampton,?,No
465,Second,"Jenkin, Mr. Stephen Curnow",Male,32,0,0,C.A. 33111,10.5,?,Southampton,?,No
466,Second,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",Female,23,0,0,SC/AH Basle 541,13.7917,D,Cherbourg,11,Yes
467,Second,"Kantor, Mr. Sinai",Male,34,1,0,244367,26,?,Southampton,?,No
468,Second,"Kantor, Mrs. Sinai (Miriam Sternin)",Female,24,1,0,244367,26,?,Southampton,12,Yes
469,Second,"Karnes, Mrs. J Frank (Claire Bennett)",Female,22,0,0,F.C.C. 13534,21,?,Southampton,?,No
470,Second,"Keane, Miss. Nora A",Female,?,0,0,226593,12.35,E101,Queenstown,10,Yes
471,Second,"Keane, Mr. Daniel",Male,35,0,0,233734,12.35,?,Queenstown,?,No
472,Second,"Kelly, Mrs. Florence ""Fannie""",Female,45,0,0,223596,13.5,?,Southampton,9,Yes
473,Second,"Kirkland, Rev. Charles Leonard",Male,57,0,0,219533,12.35,?,Queenstown,?,No
474,Second,"Knight, Mr. Robert J",Male,?,0,0,239855,0,?,Southampton,?,No
475,Second,"Kvillner, Mr. Johan Henrik Johannesson",Male,31,0,0,C.A. 18723,10.5,?,Southampton,?,No
476,Second,"Lahtinen, Mrs. William (Anna Sylfven)",Female,26,1,1,250651,26,?,Southampton,?,No
477,Second,"Lahtinen, Rev. William",Male,30,1,1,250651,26,?,Southampton,?,No
478,Second,"Lamb, Mr. John Joseph",Male,?,0,0,240261,10.7083,?,Queenstown,?,No
479,Second,"Laroche, Miss. Louise",Female,1,1,2,SC/Paris 2123,41.5792,?,Cherbourg,14,Yes
480,Second,"Laroche, Miss. Simonne Marie Anne Andree",Female,3,1,2,SC/Paris 2123,41.5792,?,Cherbourg,14,Yes
481,Second,"Laroche, Mr. Joseph Philippe Lemercier",Male,25,1,2,SC/Paris 2123,41.5792,?,Cherbourg,?,No
482,Second,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",Female,22,1,2,SC/Paris 2123,41.5792,?,Cherbourg,14,Yes
483,Second,"Lehmann, Miss. Bertha",Female,17,0,0,SC 1748,12,?,Cherbourg,12,Yes
484,Second,"Leitch, Miss. Jessie Wills",Female,?,0,0,248727,33,?,Southampton,11,Yes
485,Second,"Lemore, Mrs. (Amelia Milley)",Female,34,0,0,C.A. 34260,10.5,F33,Southampton,14,Yes
486,Second,"Levy, Mr. Rene Jacques",Male,36,0,0,SC/Paris 2163,12.875,D,Cherbourg,?,No
487,Second,"Leyson, Mr. Robert William Norman",Male,24,0,0,C.A. 29566,10.5,?,Southampton,?,No
488,Second,"Lingane, Mr. John",Male,61,0,0,235509,12.35,?,Queenstown,?,No
489,Second,"Louch, Mr. Charles Alexander",Male,50,1,0,SC/AH 3085,26,?,Southampton,?,No
490,Second,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Female,42,1,0,SC/AH 3085,26,?,Southampton,?,Yes
491,Second,"Mack, Mrs. (Mary)",Female,57,0,0,S.O./P.P. 3,10.5,E77,Southampton,?,No
492,Second,"Malachard, Mr. Noel",Male,?,0,0,237735,15.0458,D,Cherbourg,?,No
493,Second,"Mallet, Master. Andre",Male,1,0,2,S.C./PARIS 2079,37.0042,?,Cherbourg,10,Yes
494,Second,"Mallet, Mr. Albert",Male,31,1,1,S.C./PARIS 2079,37.0042,?,Cherbourg,?,No
495,Second,"Mallet, Mrs. Albert (Antoinette Magnin)",Female,24,1,1,S.C./PARIS 2079,37.0042,?,Cherbourg,10,Yes
496,Second,"Mangiavacchi, Mr. Serafino Emilio",Male,?,0,0,SC/A.3 2861,15.5792,?,Cherbourg,?,No
497,Second,"Matthews, Mr. William John",Male,30,0,0,28228,13,?,Southampton,?,No
498,Second,"Maybery, Mr. Frank Hubert",Male,40,0,0,239059,16,?,Southampton,?,No
499,Second,"McCrae, Mr. Arthur Gordon",Male,32,0,0,237216,13.5,?,Southampton,?,No
500,Second,"McCrie, Mr. James Matthew",Male,30,0,0,233478,13,?,Southampton,?,No
501,Second,"McKane, Mr. Peter David",Male,46,0,0,28403,26,?,Southampton,?,No
502,Second,"Mellinger, Miss. Madeleine Violet",Female,13,0,1,250644,19.5,?,Southampton,14,Yes
503,Second,"Mellinger, Mrs. (Elizabeth Anne Maidment)",Female,41,0,1,250644,19.5,?,Southampton,14,Yes
504,Second,"Mellors, Mr. William John",Male,19,0,0,SW/PP 751,10.5,?,Southampton,B,Yes
505,Second,"Meyer, Mr. August",Male,39,0,0,248723,13,?,Southampton,?,No
